Graph_No	ID	Type	Implementation	HMM_threshold	enzyme_long	function_input	function_output	HMM_source	enzyme_ref	kegg_ortholog	Comment
1.0	Hydrogen generation	FUNCTION	hydA1 OR hydM OR hybC OR hyiB OR frhA OR hyhL OR hoxH OR hycE OR mbhL OR cooH OR EhaO OR echE OR ehfE OR hytA OR hmdl OR hydA3 OR hyd4h	NA	NA	e-	H2	NA	NA	NA	
2.0	Hydrogen oxidation	FUNCTION	hydM OR hydA2 OR hydA3 OR hytA OR hmdl OR hupL OR hynB OR hybC OR hyaB OR hyiB OR hyoL OR hcaL OR hhyL OR hyd1i OR hyd1j OR hyd1k OR hucS OR hurL OR huaL OR hyd2e OR frhA OR hyhL OR mvhA OR hoxH OR hycE OR echE OR ehb 	NA	NA	H2	e-	NA	NA	NA	
3.0	Hydrogenotrophic methanogen.	FUNCTION	(hmdl OR frhA OR mvhA OR hyd4h OR ehb) AND mer AND (mcrA OR mcrB OR mcrG)	NA	NA	H2	CH4	NA	NA	NA	
4.0	Methanogenesis	FUNCTION	mcrA OR mcrB OR mcrG	NA	NA	Methyl-CoM, CH4	CH4, Methyl-CoM	NA	NA	NA	
5.0	Hydrogenotrophic acetogen.	FUNCTION	(hydA3 OR echE OR hyd4h OR ehb) AND (fhs OR fthfs)	NA	NA	e-	Acetate	NA	NA	NA	
6.0	Acetate oxidation	FUNCTION	acs	NA	NA	Acetate	CO2, Methyl-CoM	NA	NA	NA	
7.0	Acetoclastic methanogenesis	FUNCTION	(ack AND pta) AND (mcrA OR mcrB OR mcrG)	NA	NA	Acetate	CH4	NA	NA	NA	
8.0	Acetogen. WL	FUNCTION	fhs OR fthfs	NA	NA	CO2	Acetate	NA	NA	NA	
9.0	Carbon fixation	FUNCTION	cdhD OR cdhE OR cooS OR Form_I OR Form_II OR Hbs_1 OR 4hbl OR mcr OR pcs OR aclA OR aclB OR Hbs_2	NA	NA	CO2	Organic C	NA	NA	NA	
10.0	Methylotrophic methanogen.	FUNCTION	(mtaA OR mtbA OR hyd1k OR mttB OR mtsA OR mtmB OR mtgB) AND (mcrA OR mcrB OR mcrG)	NA	NA	Organic C	CO2, Methyl-CoM	NA	NA	NA	hyd1k was added since it is usually present in hydrogen-consuming methylotrophs. it was removed from the hydrogenotrophs, even though it consumes hydrogen.
11.0	Organic carbon oxidation	FUNCTION	adh OR akr1a1 OR ldh OR mdh OR exaA OR frmA OR fdoG OR fdoH OR fdhB OR ALDH3 OR aldB OR fdhA_non_GSH OR mycoS_dep_FDH OR porA OR ACADM OR ACADL OR mcrA OR pta OR pflD OR aspB OR aspC OR hisC OR rocD OR argD OR puuE OR ilvE OR AGXT OR serC OR tyrB OR astC OR ack OR fghA OR amyA OR SGA1 OR chiC OR bglu OR lacZ OR manB OR uidA OR xynB OR pulA OR nagZ OR abfA OR treX OR gmuG OR bsdC OR racD OR xylS OR acs OR acdA OR pabC OR ubiX OR pabBC OR catA OR coxS OR coxM OR coxL OR lat OR eutG OR adhE OR bcrC OR bcrB OR bcrA OR bcrD OR treS OR bglX OR bglB OR LYSN OR lysJ OR ramA OR fadE OR DCAA OR gabT OR aamy OR aidB OR ACADSB OR fae OR CH4_NH3mon_ox_B OR CH4_NH3mon_ox_C OR yhdR OR acdH OR ebgA OR bgaB OR HEXA_B OR chiA OR ABAT OR yiay OR mxaF OR davT OR HEX OR mauA OR mauB OR xynD OR ACAD9 OR mmoB OR mmoD OR mmgC OR MAN OR cbhA OR adhA OR fdwB OR fdhA OR CH4_NH3mon_ox_A	NA	NA	Organic C	CO2	NA	NA	NA	
12.0	(Aerobic) methanotrophy	FUNCTION	pmoA OR pmoB OR pmoC OR mmoB OR mmoD	NA	NA	CH4	CO2	NA	NA	NA	was previously removed by me because it is aerobic. but now added again. 
13.0	Fermentation	FUNCTION	adh OR ldh OR porA OR pta OR pflD OR ack OR acs OR acdA OR pct	NA	NA	Organic C, Ethanol, Acetate	Ethanol, Acetate	NA	NA	NA	
