Pathways	HMMs	reactants	products	formula	kegg_module
N-S-01:Nitrogen fixation	TIGR01861.hmm or TIGR02931.hmm or TIGR02929.hmm or TIGR01282.hmm or TIGR01286.hmm or TIGR01860.hmm or TIGR02932.hmm or TIGR02930.hmm or TIGR01287.hmm	nitrogen	ammonia	st1 reduced ferredoxin + st1 H+ + nitrogen + st2 ATP + st2 H2O = st1 oxidized ferredoxin + H2 + 2 ammonia + st2 ADP + st2 phosphate [RN:R05185]	M00175
N-S-02:Ammonia oxidation	amoA.hmm or amoB.hmm or amoC.hmm	ammonia	nitrite	ammonia + a reduced acceptor + O2 = hydroxylamine + an acceptor + H2O [RN:R09519], hydroxylamine + H2O + 4 ferricytochrome c <=> nitrite + 4 ferrocytochrome c + 5 H+ [RN:R10164]	M00528
N-S-03:Nitrite oxidation	nitrite_oxidoreductase_nxrA.hmm or nitrite_oxidoreductase_nxrB.hmm	nitrite	nitrate	nitrite + a quinone + H2O = nitrate + a quinol  [RN:R09497], nitrite + acceptor + H2O <=> nitrate + reduced acceptor [RN:R00798]	M00804, M00530, M00529, M00804
N-S-04:Nitrate reduction	TIGR01706.hmm or PF03892.hmm or TIGR01580.hmm or TIGR01660.hmm	nitrate	nitrite	nitrite + acceptor + H2O <=> nitrate + reduced acceptor [RN:R00798]	M00804, M00530, M00529, M00804
N-S-05:Nitrite reduction	TIGR02376.hmm or nitrite_reductase_nirS.hmm or TIGR04315.hmm	nitrite	nitric oxide	nitrite + ferrocytochrome c + 2 H+ = nitric oxide + H2O + ferricytochrome c  [RN:R00783]	
N-S-06:Nitric oxide reduction	nitric_oxide_reductase_norB.hmm or nitric_oxide_reductase_norC.hmm	nitric oxide	nitrous oxide	2 nitric oxide + 2 ferrocytochrome c + 2 H+  = nitrous oxide + 2 ferricytochrome c + H2O[RN:R00294]	
N-S-07:Nitrous oxide reduction	PF05048.hmm or TIGR04246.hmm	nitrous oxide	nitrogen	nitrous oxide + 2 ferrocytochrome c + 2 H+ <=> nitrogen + 2 ferricytochrome c + H2O [RN:R02804]	
N-S-08:Nitrite ammonification	TIGR03153.hmm or PF02335.hmm or TIGR03148.hmm or TIGR02374.hmm or TIGR02378.hmm	nitrite	ammonia	nitrite + 6 ferrocytochrome c + 7 H+  = ammonia + 2 H2O + 6 ferricytochrome c [RN:R05712], nitrite + 3 NADH + 5 H+ = ammonia + 3 NAD+ + 2 H2O [RN:R00787]	
N-S-09:Anammox	hydrazine_oxidase_hzoA.hmm or hydrazine_synthase_hzsA.hmm	nitrite; ammonia	nitrogen	nitrite + ferrocytochrome c + H+ <=> nitric oxide + H2O + ferricytochrome c [RN:R00783],  nitrite + reduced azurin + H+ <=> nitric oxide + H2O + oxidized azurin [RN:R00785], nitric oxide + ammonium + 3 ferrocytochrome c = hydrazine + H2O + 3 ferricytochrome c [RN:R09799], hydrazine + 4 ferricytochrome c <=> nitrogen + 4 ferrocytochrome c [RN:R07174]	M00973
N-S-10:Nitric oxide dismutase	nod.hmm	nitric oxide	nitrogen	2 nitric oxide -> nitrogen + O2	
S-S-01:Sulfide oxidation	PF09242.hmm or sulfide_quinone_oxidoreductase_sqr.hmm	sulfide	sulfur	hydrogen sulfide + 2 ferricytochrome c <=> sulfur + 2 ferrocytochrome c + 2 H+ [RN:R09499], n hydrogen sulfide + n quinone = polysulfide + n quinol [RN:R10152]	
S-S-02:Sulfur reduction	K16952.hmm or K17219.hmm or K17220.hmm or K17221.hmm	sulfur	sulfide	4 sulfur + 4 H2O + O2 = 2 hydrogen sulfide + 2 sulfite [RN:R07365], sulfur + reduced acceptor <=> hydrogen sulfide + acceptor [RN:R03533]	
S-S-03:Sulfur oxidation	PF07682.hmm or sulfur_dioxygenase_sdo.hmm	sulfur	sulfite	4 sulfur + 4 H2O + O2 = 2 hydrogen sulfide + 2 sulfite [RN:R07365], S-sulfanylglutathione + O2 + H2O = glutathione + sulfite + 2 H+ [RN:R08678]	
